	Warning:  warning, (EE) error, (NI) not implemented, (??) unknown.
[   124.847] Information:  Loading sub module "shadow"
[   124.847] Information:  LoadModule: "shadow"
[   124.847] Information:  Loading /usr/lib/xorg/modules/libshadow.so
[   124.848] Information:  Module shadow: vendor="X.Org Foundation"
[   124.848] Information:  Loading sub module "fb"
[   124.848] Information:  LoadModule: "fb"
[   124.848] Information:  Loading /usr/lib/xorg/modules/libfb.so
[   124.849] Information:  Module fb: vendor="X.Org Foundation"
[   124.849] Information:  UnloadModule: "fbdev"
[   124.849] Information:  Unloading fbdev
[   124.849] Information:  UnloadModule: "fbdevhw"
[   124.849] Information:  Unloading fbdevhw
[   124.849] Information:  Loading sub module "int10"
[   124.849] Information:  LoadModule: "int10"
[   124.849] Information:  Loading /usr/lib/xorg/modules/libint10.so
[   124.849] Information:  Module int10: vendor="X.Org Foundation"
[   124.850] Information:  VESA(0): initializing int10
[   124.850] Information:  VESA(0): Primary V_BIOS segment is: 0xc000
[   124.852] Information:  VESA(0): VESA BIOS detected
[   124.852] Information:  VESA(0): VESA VBE Version 2.0
[   124.852] Information:  VESA(0): VESA VBE Total Mem: 16384 kB
[   124.852] Information:  VESA(0): VESA VBE OEM: VirtualBox VESA BIOS
[   124.852] Information:  VESA(0): VESA VBE OEM Software Rev: 0.3
[   124.852] Information:  VESA(0): VESA VBE OEM Vendor: Oracle Corporation
[   124.852] Information:  VESA(0): VESA VBE OEM Product: Oracle VM VirtualBox VBE Adapter
[   124.852] Information:  VESA(0): VESA VBE OEM Product Rev: Oracle VM VirtualBox Version 5.2.14
[   124.853] Information:  VESA(0): virtual address = 0xb6649000,
[   124.889] Information:  VESA(0): Setting up VESA Mode 0x144 (1024x768)
[   124.919] Information:  Initializing built-in extension Generic Event Extension
[   124.919] Information:  Initializing built-in extension SHAPE
[   124.919] Information:  Initializing built-in extension MIT-SHM
[   124.919] Information:  Initializing built-in extension XInputExtension
[   124.919] Information:  Initializing built-in extension XTEST
[   124.919] Information:  Initializing built-in extension BIG-REQUESTS
[   124.919] Information:  Initializing built-in extension SYNC
[   124.919] Information:  Initializing built-in extension XKEYBOARD
[   124.919] Information:  Initializing built-in extension XC-MISC
[   124.919] Information:  Initializing built-in extension XINERAMA
[   124.919] Information:  Initializing built-in extension XFIXES
[   124.919] Information:  Initializing built-in extension RENDER
[   124.919] Information:  Initializing built-in extension RANDR
[   124.919] Information:  Initializing built-in extension COMPOSITE
[   124.919] Information:  Initializing built-in extension DAMAGE
[   124.921] Information:  SELinux: Disabled by boolean
[   124.927] Information:  AIGLX: Screen 0 is not DRI2 capable
[   124.927] Information:  AIGLX: Screen 0 is not DRI capable
[   125.053] Information:  AIGLX: Loaded and initialized /usr/lib/dri/swrast_dri.so
[   125.053] Information:  GLX: Initialized DRISWRAST GL provider for screen 0
[   125.861] Information:  config/hal: Adding input device ImExPS/2 Generic Explorer Mouse
[   125.861] Information:  LoadModule: "evdev"
[   125.861] Information:  Loading /usr/lib/xorg/modules/input/evdev_drv.so
[   125.876] Information:  Module evdev: vendor="X.Org Foundation"
[   125.876] Information:  Using input driver 'evdev' for 'ImExPS/2 Generic Explorer Mouse'
[   125.876] Information:  Loading /usr/lib/xorg/modules/input/evdev_drv.so
[   125.876] Information:  ImExPS/2 Generic Explorer Mouse: Configuring as mouse
[   125.876] Information:  ImExPS/2 Generic Explorer Mouse: Adding scrollwheel support
[   125.876] Information:  XINPUT: Adding extended input device "ImExPS/2 Generic Explorer Mouse" (type: MOUSE)
[   125.876] Information:  ImExPS/2 Generic Explorer Mouse: initialized for relative axes.
[   125.881] Information:  config/hal: Adding input device AT Translated Set 2 keyboard
[   125.881] Information:  Using input driver 'evdev' for 'AT Translated Set 2 keyboard'
[   125.881] Information:  Loading /usr/lib/xorg/modules/input/evdev_drv.so
[   125.881] Information:  AT Translated Set 2 keyboard: Configuring as keyboard
[   125.881] Information:  XINPUT: Adding extended input device "AT Translated Set 2 keyboard" (type: KEYBOARD)
[   125.922] Information:  config/hal: Adding input device Video Bus
[   125.922] Information:  Using input driver 'evdev' for 'Video Bus'
[   125.922] Information:  Loading /usr/lib/xorg/modules/input/evdev_drv.so
[   125.922] Information:  Video Bus: Configuring as keyboard
[   125.922] Information:  XINPUT: Adding extended input device "Video Bus" (type: KEYBOARD)
[   125.926] Information:  config/hal: Adding input device Sleep Button
[   125.926] Information:  Using input driver 'evdev' for 'Sleep Button'
[   125.926] Information:  Loading /usr/lib/xorg/modules/input/evdev_drv.so
